Topic,count,ScienceT,year,citations
AI,5,Building Technology,2000,33238
Robots,3,Building Technology,2000,12399
Robotics,2,Building Technology,2000,6934
Data Mining,1,Building Technology,2000,7278
Voice Recognition,1,Building Technology,2000,1859
Expert System,1,Building Technology,2000,4310
Database,1,Building Technology,2000,3802
Information Retrieval,1,Building Technology,2000,5576
Robots,359,Robotics,2000,12399
AI,144,Robotics,2000,33238
Robotics,144,Robotics,2000,6934
Mobile Robots,113,Robotics,2000,3563
Manipulator,90,Robotics,2000,3505
Object Recognition,16,Robotics,2000,9158
Computer Vision,13,Robotics,2000,6318
Reinforcement Learning,13,Robotics,2000,589
Classification,13,Robotics,2000,18948
AUV,6,Robotics,2000,759
Pose Estimation,6,Robotics,2000,284
Genetic Algorithm,5,Robotics,2000,1834
Feature Extraction,4,Robotics,2000,10130
Pattern Recognition,4,Robotics,2000,16984
Humanoid Robots,3,Robotics,2000,32
Image Segmentation,3,Robotics,2000,3834
Clustering,3,Robotics,2000,6232
Knowledge Representation,3,Robotics,2000,1692
UGV,2,Robotics,2000,203
Image Classification,2,Robotics,2000,1385
RNN,2,Robotics,2000,271
High Performance Computing,2,Robotics,2000,258
Markov,2,Robotics,2000,817
UAM,2,Robotics,2000,211
Search Algorithm,2,Robotics,2000,362
Expert System,1,Robotics,2000,4310
Quantum Computing,1,Robotics,2000,7120
Image Recognition,1,Robotics,2000,238
Supercomputers,1,Robotics,2000,389
Distributed Computing,1,Robotics,2000,39
Gesture Recognition,1,Robotics,2000,93
Parallel Processing,1,Robotics,2000,96
Information Retrieval,1,Robotics,2000,5576
Multi-layer perceptron,1,Robotics,2000,1563
Statistical Learning,1,Robotics,2000,3373
Self Supervised Learning,1,Robotics,2000,10
Machine Learning,1,Robotics,2000,2768
Back-propagation,1,Robotics,2000,1960
Robotics,7,Agriculture,2000,6934
Robots,7,Agriculture,2000,12399
Pattern Recognition,6,Agriculture,2000,16984
Expert System,5,Agriculture,2000,4310
AI,3,Agriculture,2000,33238
Classification,2,Agriculture,2000,18948
Dimensionality Reduction,2,Agriculture,2000,6832
Regression,1,Agriculture,2000,2718
Back-propagation,1,Agriculture,2000,1960
Machine Learning,1,Agriculture,2000,2768
Mobile Robots,1,Agriculture,2000,3563
Classification,7,Life Sciences,2000,18948
Pattern Recognition,5,Life Sciences,2000,16984
Back-propagation,2,Life Sciences,2000,1960
Image Segmentation,2,Life Sciences,2000,3834
Object Recognition,2,Life Sciences,2000,9158
Regression,2,Life Sciences,2000,2718
Machine Learning,2,Life Sciences,2000,2768
Database,1,Life Sciences,2000,3802
Generative Adversarial Network,1,Life Sciences,2000,67
Data Mining,1,Life Sciences,2000,7278
AI,1,Life Sciences,2000,33238
Dimensionality Reduction,1,Life Sciences,2000,6832
Expert System,1,Life Sciences,2000,4310
SVM,1,Life Sciences,2000,3534
Supervised Learning,1,Life Sciences,2000,797
Unsupervised Learning,1,Life Sciences,2000,845
Robotics,1,Life Sciences,2000,6934
Pattern Recognition,1,Morphology,2000,16984
Data Mining,2,Social Sciences,2000,7278
Classification,2,Social Sciences,2000,18948
Expert System,2,Social Sciences,2000,4310
Regression,1,Social Sciences,2000,2718
AI,1,Social Sciences,2000,33238
Pattern Recognition,1,Social Sciences,2000,16984
Database,1,Social Sciences,2000,3802
Image Segmentation,1,Social Sciences,2000,3834
Robots,1,Social Sciences,2000,12399
Manipulator,1,Social Sciences,2000,3505
Expert System,4,Water Resources,2000,4310
Regression,3,Water Resources,2000,2718
Pattern Recognition,2,Water Resources,2000,16984
RNN,1,Water Resources,2000,271
Back-propagation,1,Water Resources,2000,1960
Big Data,1,Water Resources,2000,38
Mobile Robots,1,Music,2000,3563
Robots,1,Music,2000,12399
Quantum Computing,90,Physics,2000,7120
Pattern Recognition,28,Physics,2000,16984
Robots,10,Physics,2000,12399
Monte Carlo,9,Physics,2000,439
Robotics,7,Physics,2000,6934
Classification,7,Physics,2000,18948
Supercomputers,6,Physics,2000,389
Back-propagation,5,Physics,2000,1960
Optical Computing,4,Physics,2000,41
Multi-layer perceptron,4,Physics,2000,1563
Database,4,Physics,2000,3802
Manipulator,3,Physics,2000,3505
High Performance Computing,3,Physics,2000,258
Clustering,3,Physics,2000,6232
Object Recognition,2,Physics,2000,9158
Information Retrieval,2,Physics,2000,5576
RNN,2,Physics,2000,271
Expert System,2,Physics,2000,4310
Regression,2,Physics,2000,2718
Dimensionality Reduction,2,Physics,2000,6832
Computer Vision,2,Physics,2000,6318
Unsupervised Learning,1,Physics,2000,845
Clouds,1,Physics,2000,62
Search Algorithm,1,Physics,2000,362
Distributed Computing,1,Physics,2000,39
BD & Cloud Solutions,1,Physics,2000,76
Supervised Learning,1,Physics,2000,797
Data Center,1,Physics,2000,467
Reinforcement Learning,1,Physics,2000,589
Feature Extraction,1,Physics,2000,10130
Image Recognition,1,Physics,2000,238
Optimization Algorithm,1,Physics,2000,152
Image Segmentation,1,Physics,2000,3834
Convolutional Networks,1,Physics,2000,195
Voice Recognition,1,Physics,2000,1859
AI,1,Physics,2000,33238
Boltzmann Machine,1,Physics,2000,4
Machine Learning,1,Mycology,2000,2768
Clustering,1,Mycology,2000,6232
Data Mining,1,Mycology,2000,7278
Robotics,3,History,2000,6934
Manipulator,2,History,2000,3505
AI,1,History,2000,33238
Robots,1,History,2000,12399
Robots,352,Control Systems,2000,12399
Robotics,127,Control Systems,2000,6934
Mobile Robots,109,Control Systems,2000,3563
AI,96,Control Systems,2000,33238
Manipulator,93,Control Systems,2000,3505
Expert System,16,Control Systems,2000,4310
Multi-layer perceptron,14,Control Systems,2000,1563
Classification,13,Control Systems,2000,18948
Reinforcement Learning,13,Control Systems,2000,589
Genetic Algorithm,11,Control Systems,2000,1834
Computer Vision,10,Control Systems,2000,6318
Pattern Recognition,9,Control Systems,2000,16984
AUV,9,Control Systems,2000,759
Knowledge Representation,9,Control Systems,2000,1692
Back-propagation,9,Control Systems,2000,1960
RNN,8,Control Systems,2000,271
Object Recognition,7,Control Systems,2000,9158
Machine Learning,6,Control Systems,2000,2768
Clustering,5,Control Systems,2000,6232
Regression,5,Control Systems,2000,2718
Feature Extraction,5,Control Systems,2000,10130
Dimensionality Reduction,5,Control Systems,2000,6832
Database,4,Control Systems,2000,3802
Humanoid Robots,4,Control Systems,2000,32
Convolutional Networks,3,Control Systems,2000,195
Data Mining,3,Control Systems,2000,7278
Image Segmentation,3,Control Systems,2000,3834
Optimization Algorithm,2,Control Systems,2000,152
Pose Estimation,2,Control Systems,2000,284
Statistical Learning,2,Control Systems,2000,3373
UGV,2,Control Systems,2000,203
Search Algorithm,2,Control Systems,2000,362
Supercomputers,1,Control Systems,2000,389
RDBMS & SQL,1,Control Systems,2000,80
Monte Carlo,1,Control Systems,2000,439
Information Retrieval,1,Control Systems,2000,5576
Voice Recognition,1,Control Systems,2000,1859
Parallel Processing,1,Control Systems,2000,96
Unsupervised Learning,1,Control Systems,2000,845
Dynamic Programming,1,Control Systems,2000,294
Self Supervised Learning,1,Control Systems,2000,10
High Performance Computing,1,Control Systems,2000,258
Supervised Learning,1,Control Systems,2000,797
Classification,7,Business,2000,18948
Data Mining,5,Business,2000,7278
Robotics,3,Business,2000,6934
Expert System,3,Business,2000,4310
Pattern Recognition,3,Business,2000,16984
AI,3,Business,2000,33238
Robots,2,Business,2000,12399
Database,2,Business,2000,3802
NLP,2,Business,2000,516
Feature Extraction,2,Business,2000,10130
Optimization Algorithm,1,Business,2000,152
Information Retrieval,1,Business,2000,5576
Big Data,1,Business,2000,38
Image Segmentation,1,Business,2000,3834
Machine Learning,1,Business,2000,2768
Regression,1,Business,2000,2718
Supervised Learning,1,Business,2000,797
Manipulator,1,Business,2000,3505
Robotics,7,Mechanics,2000,6934
Robots,6,Mechanics,2000,12399
Pattern Recognition,6,Mechanics,2000,16984
Manipulator,4,Mechanics,2000,3505
Classification,2,Mechanics,2000,18948
Feature Extraction,2,Mechanics,2000,10130
Mobile Robots,2,Mechanics,2000,3563
Genetic Algorithm,1,Mechanics,2000,1834
Computer Vision,1,Mechanics,2000,6318
Object Recognition,1,Mechanics,2000,9158
Expert System,1,Mechanics,2000,4310
Nearest Neighbors,1,Mechanics,2000,108
Big Data,1,Mechanics,2000,38
High Performance Computing,1,Mechanics,2000,258
Supercomputers,1,Mechanics,2000,389
Pattern Recognition,1,Anatomy,2000,16984
UAM,3,Zoology,2000,211
Object Recognition,2,Zoology,2000,9158
Manipulator,1,Zoology,2000,3505
Feature Extraction,7,Telecommunications,2000,10130
Database,7,Telecommunications,2000,3802
Robotics,5,Telecommunications,2000,6934
Information Retrieval,4,Telecommunications,2000,5576
Robots,4,Telecommunications,2000,12399
Voice Recognition,4,Telecommunications,2000,1859
Multi-layer perceptron,4,Telecommunications,2000,1563
Object Recognition,4,Telecommunications,2000,9158
Classification,3,Telecommunications,2000,18948
Data Mining,3,Telecommunications,2000,7278
Expert System,2,Telecommunications,2000,4310
Face Detection,2,Telecommunications,2000,1129
Image Recognition,2,Telecommunications,2000,238
Dimensionality Reduction,2,Telecommunications,2000,6832
Back-propagation,2,Telecommunications,2000,1960
NLP,2,Telecommunications,2000,516
RNN,2,Telecommunications,2000,271
Reinforcement Learning,2,Telecommunications,2000,589
Dynamic Programming,2,Telecommunications,2000,294
Markov,2,Telecommunications,2000,817
Computer Vision,1,Telecommunications,2000,6318
Machine Learning,1,Telecommunications,2000,2768
Regression,1,Telecommunications,2000,2718
UGV,1,Telecommunications,2000,203
Pattern Recognition,1,Telecommunications,2000,16984
Image Segmentation,1,Telecommunications,2000,3834
Genetic Algorithm,1,Telecommunications,2000,1834
RDBMS & SQL,1,Telecommunications,2000,80
High Performance Computing,1,Telecommunications,2000,258
Optical Computing,1,Telecommunications,2000,41
Manipulator,1,Telecommunications,2000,3505
Object Recognition,3,Cell Biology,2000,9158
Pattern Recognition,3,Cell Biology,2000,16984
Data Mining,2,Cell Biology,2000,7278
Image Segmentation,2,Cell Biology,2000,3834
Classification,1,Cell Biology,2000,18948
Database,1,Cell Biology,2000,3802
Robotics,1,Cell Biology,2000,6934
Object Recognition,4,Psychiatry,2000,9158
Classification,3,Psychiatry,2000,18948
Regression,2,Psychiatry,2000,2718
Voice Recognition,1,Psychiatry,2000,1859
Machine Learning,1,Psychiatry,2000,2768
AI,1,Psychiatry,2000,33238
Image Segmentation,1,Psychiatry,2000,3834
Feature Extraction,1,Psychiatry,2000,10130
Robots,1,Psychiatry,2000,12399
Mobile Robots,1,Psychiatry,2000,3563
Machine Learning,2,Internal Medicine,2000,2768
Classification,2,Internal Medicine,2000,18948
Genetic Algorithm,2,Internal Medicine,2000,1834
Regression,1,Internal Medicine,2000,2718
Expert System,1,Internal Medicine,2000,4310
Database,2,Pathology,2000,3802
Classification,2,Pathology,2000,18948
Data Mining,1,Pathology,2000,7278
Image Segmentation,1,Pathology,2000,3834
Database,1,Heredity,2000,3802
Pattern Recognition,1,Orthopedics,2000,16984
Expert System,3,Mineralogy,2000,4310
Multi-layer perceptron,4,Rehabilitation,2000,1563
Classification,3,Rehabilitation,2000,18948
Robotics,2,Rehabilitation,2000,6934
Machine Learning,2,Rehabilitation,2000,2768
Robots,1,Rehabilitation,2000,12399
Data Mining,1,Rehabilitation,2000,7278
Gesture Recognition,1,Rehabilitation,2000,93
Feature Extraction,1,Rehabilitation,2000,10130
AI,38,Photographic Technology,2000,33238
Classification,25,Photographic Technology,2000,18948
Robots,21,Photographic Technology,2000,12399
Robotics,19,Photographic Technology,2000,6934
Image Segmentation,15,Photographic Technology,2000,3834
Image Classification,13,Photographic Technology,2000,1385
Pattern Recognition,13,Photographic Technology,2000,16984
Database,12,Photographic Technology,2000,3802
Object Recognition,11,Photographic Technology,2000,9158
Feature Extraction,8,Photographic Technology,2000,10130
Computer Vision,7,Photographic Technology,2000,6318
Face Detection,5,Photographic Technology,2000,1129
Information Retrieval,4,Photographic Technology,2000,5576
Clustering,3,Photographic Technology,2000,6232
Mobile Robots,3,Photographic Technology,2000,3563
UAM,3,Photographic Technology,2000,211
SVM,3,Photographic Technology,2000,3534
High Performance Computing,2,Photographic Technology,2000,258
Convolutional Networks,2,Photographic Technology,2000,195
Hardware Acceleration,1,Photographic Technology,2000,15
Regression,1,Photographic Technology,2000,2718
Manipulator,1,Photographic Technology,2000,3505
Genetic Algorithm,1,Photographic Technology,2000,1834
Expert System,1,Photographic Technology,2000,4310
Image Recognition,1,Photographic Technology,2000,238
RDBMS & SQL,1,Photographic Technology,2000,80
Bayesian Inference,1,Photographic Technology,2000,136
Knowledge Representation,1,Photographic Technology,2000,1692
UGV,1,Photographic Technology,2000,203
Machine Learning,1,Photographic Technology,2000,2768
Humanoid Robots,1,Photographic Technology,2000,32
Back-propagation,1,Photographic Technology,2000,1960
Transformers & Attention,1,Photographic Technology,2000,6
Feature Engineering,1,Photographic Technology,2000,1
Pattern Recognition,7,Biophysics,2000,16984
Classification,4,Biophysics,2000,18948
Robotics,3,Biophysics,2000,6934
Database,2,Biophysics,2000,3802
Supervised Learning,1,Biophysics,2000,797
Object Recognition,1,Biophysics,2000,9158
Regression,1,Biophysics,2000,2718
Back-propagation,1,Biophysics,2000,1960
Dimensionality Reduction,1,Biophysics,2000,6832
Data Mining,1,Biophysics,2000,7278
Computer Vision,1,Biophysics,2000,6318
Expert System,1,Biophysics,2000,4310
Robots,1,Biophysics,2000,12399
Machine Learning,6,Applied Microbiology,2000,2768
Robotics,4,Applied Microbiology,2000,6934
Robots,3,Applied Microbiology,2000,12399
Classification,3,Applied Microbiology,2000,18948
Clustering,1,Applied Microbiology,2000,6232
Data Mining,1,Applied Microbiology,2000,7278
Markov,1,Applied Microbiology,2000,817
Database,1,Applied Microbiology,2000,3802
Dimensionality Reduction,1,Applied Microbiology,2000,6832
Pattern Recognition,1,Applied Microbiology,2000,16984
Object Recognition,1,Applied Microbiology,2000,9158
Regression,1,Forestry,2000,2718
Classification,1,Forestry,2000,18948
Image Classification,1,Forestry,2000,1385
Regression,1,Plant Sciences,2000,2718
Image Classification,1,Plant Sciences,2000,1385
AI,1227,Computer Science,2000,33238
Robots,389,Computer Science,2000,12399
Classification,344,Computer Science,2000,18948
Pattern Recognition,222,Computer Science,2000,16984
Robotics,179,Computer Science,2000,6934
Data Mining,177,Computer Science,2000,7278
Database,168,Computer Science,2000,3802
Information Retrieval,141,Computer Science,2000,5576
Expert System,132,Computer Science,2000,4310
Mobile Robots,128,Computer Science,2000,3563
Machine Learning,125,Computer Science,2000,2768
Knowledge Representation,123,Computer Science,2000,1692
Object Recognition,113,Computer Science,2000,9158
Image Segmentation,112,Computer Science,2000,3834
Clustering,108,Computer Science,2000,6232
Voice Recognition,107,Computer Science,2000,1859
Multi-layer perceptron,105,Computer Science,2000,1563
Feature Extraction,105,Computer Science,2000,10130
Computer Vision,100,Computer Science,2000,6318
Back-propagation,87,Computer Science,2000,1960
Genetic Algorithm,74,Computer Science,2000,1834
Regression,55,Computer Science,2000,2718
Manipulator,49,Computer Science,2000,3505
NLP,48,Computer Science,2000,516
Reinforcement Learning,43,Computer Science,2000,589
Convolutional Networks,43,Computer Science,2000,195
High Performance Computing,37,Computer Science,2000,258
SVM,36,Computer Science,2000,3534
Supercomputers,31,Computer Science,2000,389
RNN,31,Computer Science,2000,271
Supervised Learning,29,Computer Science,2000,797
Unsupervised Learning,28,Computer Science,2000,845
Dimensionality Reduction,28,Computer Science,2000,6832
Quantum Computing,23,Computer Science,2000,7120
Image Classification,23,Computer Science,2000,1385
Language Modeling,18,Computer Science,2000,541
Automated Reasoning,17,Computer Science,2000,324
Search Algorithm,16,Computer Science,2000,362
Pose Estimation,16,Computer Science,2000,284
RDBMS & SQL,15,Computer Science,2000,80
Face Detection,15,Computer Science,2000,1129
Markov,14,Computer Science,2000,817
Image Recognition,13,Computer Science,2000,238
Distributed Computing,11,Computer Science,2000,39
Nearest Neighbors,11,Computer Science,2000,108
Monte Carlo,11,Computer Science,2000,439
Dynamic Programming,10,Computer Science,2000,294
Parallel Processing,10,Computer Science,2000,96
Statistical Learning,9,Computer Science,2000,3373
Gesture Recognition,8,Computer Science,2000,93
Machine Translation,8,Computer Science,2000,272
Text Classification,8,Computer Science,2000,22
Optimization Algorithm,8,Computer Science,2000,152
AUV,7,Computer Science,2000,759
UGV,6,Computer Science,2000,203
Big Data,5,Computer Science,2000,38
Optical Computing,5,Computer Science,2000,41
UAM,5,Computer Science,2000,211
Cluster Computing,5,Computer Science,2000,8
Humanoid Robots,4,Computer Science,2000,32
Data Center,4,Computer Science,2000,467
Hardware Acceleration,4,Computer Science,2000,15
Boosting,3,Computer Science,2000,159
BD & Cloud Solutions,3,Computer Science,2000,76
Meta Learning,2,Computer Science,2000,13
Self Supervised Learning,1,Computer Science,2000,10
Grid Computing,1,Computer Science,2000,11
Semi Supervised Learning,1,Computer Science,2000,1
Transformers & Attention,1,Computer Science,2000,6
Generative Adversarial Network,1,Computer Science,2000,67
Classification,29,Remote Sensing,2000,18948
Image Classification,14,Remote Sensing,2000,1385
Object Recognition,5,Remote Sensing,2000,9158
Database,4,Remote Sensing,2000,3802
Feature Extraction,3,Remote Sensing,2000,10130
UAM,3,Remote Sensing,2000,211
Image Segmentation,2,Remote Sensing,2000,3834
Data Center,2,Remote Sensing,2000,467
Expert System,2,Remote Sensing,2000,4310
Information Retrieval,2,Remote Sensing,2000,5576
Clustering,2,Remote Sensing,2000,6232
Back-propagation,2,Remote Sensing,2000,1960
Computer Vision,1,Remote Sensing,2000,6318
Monte Carlo,1,Remote Sensing,2000,439
Machine Learning,1,Remote Sensing,2000,2768
Data Mining,1,Remote Sensing,2000,7278
Bayesian Inference,1,Remote Sensing,2000,136
Regression,1,Remote Sensing,2000,2718
Pattern Recognition,1,Remote Sensing,2000,16984
Multi-layer perceptron,1,Remote Sensing,2000,1563
RDBMS & SQL,1,Remote Sensing,2000,80
Knowledge Representation,1,Remote Sensing,2000,1692
Dimensionality Reduction,1,Remote Sensing,2000,6832
High Performance Computing,1,Remote Sensing,2000,258
Robots,1,Remote Sensing,2000,12399
Classification,6,Geophysics,2000,18948
Image Classification,6,Geophysics,2000,1385
Database,2,Geophysics,2000,3802
Data Center,2,Geophysics,2000,467
Dimensionality Reduction,1,Geophysics,2000,6832
Machine Learning,1,Geophysics,2000,2768
Bayesian Inference,1,Geophysics,2000,136
Information Retrieval,1,Geophysics,2000,5576
Clustering,1,Geophysics,2000,6232
Pattern Recognition,1,Geophysics,2000,16984
Image Segmentation,1,Geophysics,2000,3834
Robots,1,Social Issues,2000,12399
Object Recognition,15,Psychology,2000,9158
Pattern Recognition,6,Psychology,2000,16984
Classification,3,Psychology,2000,18948
Voice Recognition,3,Psychology,2000,1859
AI,2,Psychology,2000,33238
Database,1,Psychology,2000,3802
Data Mining,1,Psychology,2000,7278
Knowledge Representation,1,Psychology,2000,1692
Information Retrieval,1,Psychology,2000,5576
Feature Extraction,1,Psychology,2000,10130
Expert System,1,Psychology,2000,4310
Robots,1,Psychology,2000,12399
Robots,3,Veterinary Sciences,2000,12399
Machine Learning,1,Veterinary Sciences,2000,2768
Robotics,1,Veterinary Sciences,2000,6934
Manipulator,1,Veterinary Sciences,2000,3505
Classification,4,Cardiology,2000,18948
Database,3,Cardiology,2000,3802
Feature Extraction,3,Cardiology,2000,10130
SVM,2,Cardiology,2000,3534
Pattern Recognition,1,Cardiology,2000,16984
Clustering,1,Cardiology,2000,6232
Machine Learning,6,Microbiology,2000,2768
Classification,4,Microbiology,2000,18948
Robotics,4,Microbiology,2000,6934
Robots,3,Microbiology,2000,12399
RNN,2,Microbiology,2000,271
AI,1,Microbiology,2000,33238
Clustering,1,Microbiology,2000,6232
Data Mining,1,Microbiology,2000,7278
Markov,1,Microbiology,2000,817
Database,1,Microbiology,2000,3802
Dimensionality Reduction,1,Microbiology,2000,6832
Pattern Recognition,1,Microbiology,2000,16984
Object Recognition,1,Microbiology,2000,9158
Robots,6,Transportation,2000,12399
UGV,4,Transportation,2000,203
Expert System,4,Transportation,2000,4310
Classification,3,Transportation,2000,18948
Computer Vision,3,Transportation,2000,6318
Mobile Robots,3,Transportation,2000,3563
Data Mining,2,Transportation,2000,7278
Object Recognition,2,Transportation,2000,9158
Feature Extraction,2,Transportation,2000,10130
Pattern Recognition,2,Transportation,2000,16984
Database,1,Transportation,2000,3802
Information Retrieval,1,Transportation,2000,5576
Knowledge Representation,1,Transportation,2000,1692
Genetic Algorithm,1,Transportation,2000,1834
Back-propagation,1,Transportation,2000,1960
Robotics,1,Transportation,2000,6934
Data Center,8,Astronomy,2000,467
Robotics,2,Astronomy,2000,6934
Dimensionality Reduction,1,Astronomy,2000,6832
RDBMS & SQL,1,Astronomy,2000,80
Data Mining,1,Astronomy,2000,7278
Image Segmentation,1,Astronomy,2000,3834
Manipulator,1,Astronomy,2000,3505
Robots,1,Astronomy,2000,12399
Expert System,2,Mineral Processing,2000,4310
Object Recognition,1,Mineral Processing,2000,9158
Information Retrieval,1,Metabolism,2000,5576
AI,32,Radiology,2000,33238
Image Segmentation,19,Radiology,2000,3834
Classification,16,Radiology,2000,18948
Robots,12,Radiology,2000,12399
Pattern Recognition,11,Radiology,2000,16984
Object Recognition,10,Radiology,2000,9158
Robotics,10,Radiology,2000,6934
Feature Extraction,7,Radiology,2000,10130
Database,6,Radiology,2000,3802
Voice Recognition,4,Radiology,2000,1859
Information Retrieval,3,Radiology,2000,5576
Face Detection,3,Radiology,2000,1129
SVM,3,Radiology,2000,3534
Dimensionality Reduction,3,Radiology,2000,6832
Back-propagation,3,Radiology,2000,1960
Regression,3,Radiology,2000,2718
UGV,1,Radiology,2000,203
Computer Vision,1,Radiology,2000,6318
Clustering,1,Radiology,2000,6232
Image Recognition,1,Radiology,2000,238
Genetic Algorithm,1,Radiology,2000,1834
Data Center,1,Radiology,2000,467
Quantum Computing,1,Radiology,2000,7120
Mobile Robots,1,Radiology,2000,3563
AI,4,Law,2000,33238
Information Retrieval,2,Law,2000,5576
Expert System,2,Law,2000,4310
Expert System,2,Mining,2000,4310
Object Recognition,1,Mining,2000,9158
Expert System,9,Energy,2000,4310
Classification,4,Energy,2000,18948
Back-propagation,4,Energy,2000,1960
AI,3,Energy,2000,33238
Pattern Recognition,3,Energy,2000,16984
Regression,3,Energy,2000,2718
Robots,3,Energy,2000,12399
Robotics,3,Energy,2000,6934
Multi-layer perceptron,2,Energy,2000,1563
Knowledge Representation,2,Energy,2000,1692
Computer Vision,2,Energy,2000,6318
Image Segmentation,1,Energy,2000,3834
Monte Carlo,1,Energy,2000,439
Big Data,1,Energy,2000,38
Database,1,Energy,2000,3802
High Performance Computing,1,Energy,2000,258
Information Retrieval,1,Energy,2000,5576
Voice Recognition,1,Energy,2000,1859
Dimensionality Reduction,1,Energy,2000,6832
Object Recognition,1,Energy,2000,9158
Face Detection,1,Energy,2000,1129
RNN,1,Energy,2000,271
Mobile Robots,1,Energy,2000,3563
Robots,31,Operations Research,2000,12399
AI,18,Operations Research,2000,33238
Expert System,17,Operations Research,2000,4310
Robotics,14,Operations Research,2000,6934
Genetic Algorithm,8,Operations Research,2000,1834
Classification,7,Operations Research,2000,18948
Manipulator,6,Operations Research,2000,3505
Database,6,Operations Research,2000,3802
AUV,4,Operations Research,2000,759
Mobile Robots,4,Operations Research,2000,3563
Pattern Recognition,4,Operations Research,2000,16984
Data Mining,4,Operations Research,2000,7278
Regression,3,Operations Research,2000,2718
Machine Learning,2,Operations Research,2000,2768
Computer Vision,2,Operations Research,2000,6318
Supervised Learning,2,Operations Research,2000,797
Information Retrieval,2,Operations Research,2000,5576
Feature Extraction,2,Operations Research,2000,10130
Convolutional Networks,2,Operations Research,2000,195
Knowledge Representation,1,Operations Research,2000,1692
Optimization Algorithm,1,Operations Research,2000,152
NLP,1,Operations Research,2000,516
Multi-layer perceptron,1,Operations Research,2000,1563
Image Segmentation,1,Operations Research,2000,3834
Back-propagation,1,Operations Research,2000,1960
Expert System,9,Fuels,2000,4310
Classification,4,Fuels,2000,18948
Back-propagation,4,Fuels,2000,1960
AI,3,Fuels,2000,33238
Pattern Recognition,3,Fuels,2000,16984
Regression,3,Fuels,2000,2718
Robots,3,Fuels,2000,12399
Robotics,3,Fuels,2000,6934
Multi-layer perceptron,2,Fuels,2000,1563
Knowledge Representation,2,Fuels,2000,1692
Computer Vision,2,Fuels,2000,6318
Image Segmentation,1,Fuels,2000,3834
Monte Carlo,1,Fuels,2000,439
Big Data,1,Fuels,2000,38
Database,1,Fuels,2000,3802
High Performance Computing,1,Fuels,2000,258
Information Retrieval,1,Fuels,2000,5576
Voice Recognition,1,Fuels,2000,1859
Dimensionality Reduction,1,Fuels,2000,6832
Object Recognition,1,Fuels,2000,9158
Face Detection,1,Fuels,2000,1129
RNN,1,Fuels,2000,271
Mobile Robots,1,Fuels,2000,3563
Classification,9,Mathematical,2000,18948
Data Mining,6,Mathematical,2000,7278
Regression,5,Mathematical,2000,2718
Pattern Recognition,5,Mathematical,2000,16984
Back-propagation,4,Mathematical,2000,1960
Machine Learning,4,Mathematical,2000,2768
Image Segmentation,3,Mathematical,2000,3834
Markov,1,Mathematical,2000,817
AI,1,Mathematical,2000,33238
Database,1,Mathematical,2000,3802
Multi-layer perceptron,1,Mathematical,2000,1563
High Performance Computing,1,Mathematical,2000,258
Expert System,1,Mathematical,2000,4310
Robotics,1,Mathematical,2000,6934
Manipulator,1,Mathematical,2000,3505
Regression,2,Freshwater Biology,2000,2718
Convolutional Networks,2,Freshwater Biology,2000,195
AI,1,Freshwater Biology,2000,33238
Classification,1,Freshwater Biology,2000,18948
Dimensionality Reduction,1,Freshwater Biology,2000,6832
Expert System,1,Freshwater Biology,2000,4310
Data Mining,1,Freshwater Biology,2000,7278
Information Retrieval,28,Information Science,2000,5576
Database,9,Information Science,2000,3802
Classification,6,Information Science,2000,18948
Data Mining,5,Information Science,2000,7278
Knowledge Representation,4,Information Science,2000,1692
Machine Learning,3,Information Science,2000,2768
Clustering,3,Information Science,2000,6232
Feature Extraction,3,Information Science,2000,10130
NLP,3,Information Science,2000,516
RDBMS & SQL,2,Information Science,2000,80
Text Classification,2,Information Science,2000,22
Multi-layer perceptron,2,Information Science,2000,1563
Robots,2,Information Science,2000,12399
Computer Vision,1,Information Science,2000,6318
AI,1,Information Science,2000,33238
Machine Translation,1,Information Science,2000,272
Mobile Robots,1,Information Science,2000,3563
Image Segmentation,1,Information Science,2000,3834
Regression,1,Information Science,2000,2718
Expert System,2,Sociology,2000,4310
NLP,1,Sociology,2000,516
Database,1,Sociology,2000,3802
Classification,24,Medical Informatics,2000,18948
Expert System,17,Medical Informatics,2000,4310
AI,13,Medical Informatics,2000,33238
Data Mining,12,Medical Informatics,2000,7278
Knowledge Representation,11,Medical Informatics,2000,1692
Database,9,Medical Informatics,2000,3802
Machine Learning,8,Medical Informatics,2000,2768
Pattern Recognition,6,Medical Informatics,2000,16984
Information Retrieval,6,Medical Informatics,2000,5576
NLP,6,Medical Informatics,2000,516
Multi-layer perceptron,6,Medical Informatics,2000,1563
Image Segmentation,4,Medical Informatics,2000,3834
Back-propagation,4,Medical Informatics,2000,1960
Genetic Algorithm,3,Medical Informatics,2000,1834
Clustering,3,Medical Informatics,2000,6232
Robots,2,Medical Informatics,2000,12399
RDBMS & SQL,2,Medical Informatics,2000,80
Regression,2,Medical Informatics,2000,2718
Nearest Neighbors,2,Medical Informatics,2000,108
Object Recognition,2,Medical Informatics,2000,9158
Voice Recognition,1,Medical Informatics,2000,1859
Robotics,1,Medical Informatics,2000,6934
RNN,1,Medical Informatics,2000,271
Monte Carlo,1,Medical Informatics,2000,439
Dimensionality Reduction,1,Medical Informatics,2000,6832
High Performance Computing,1,Medical Informatics,2000,258
Manipulator,1,Medical Informatics,2000,3505
