topic,count,proportion
Robots,341,0.37390350877192985
Manipulator,107,0.11732456140350878
Robotics,83,0.09100877192982457
UAM,66,0.07236842105263158
Voice Recognition,38,0.041666666666666664
Object Recognition,36,0.039473684210526314
Data Center,31,0.03399122807017544
Mobile Robots,26,0.02850877192982456
Information Retrieval,25,0.027412280701754384
Image Recognition,19,0.020833333333333332
Feature Extraction,17,0.01864035087719298
Database,16,0.017543859649122806
Unmanned Vehicle,10,0.010964912280701754
Pattern Recognition,9,0.009868421052631578
Expert System,8,0.008771929824561403
Classification,8,0.008771929824561403
Clouds,7,0.007675438596491228
Face Detection,7,0.007675438596491228
Computer Vision,6,0.006578947368421052
Data Mining,6,0.006578947368421052
Image Segmentation,6,0.006578947368421052
Clustering,5,0.005482456140350877
UGV,5,0.005482456140350877
Image Classification,4,0.0043859649122807015
Hardware Acceleration,4,0.0043859649122807015
Language Modeling,3,0.003289473684210526
Data Storage,3,0.003289473684210526
Big Data,2,0.0021929824561403508
Regression,2,0.0021929824561403508
Humanoid Robots,2,0.0021929824561403508
AI,2,0.0021929824561403508
Statistical Learning,1,0.0010964912280701754
Semi Supervised Learning,1,0.0010964912280701754
Supervised Learning,1,0.0010964912280701754
AUV,1,0.0010964912280701754
Reinforcement Learning,1,0.0010964912280701754
Semantic Search,1,0.0010964912280701754
Quantum Computing,1,0.0010964912280701754
BD & Cloud Solutions,1,0.0010964912280701754
