topic,count,proportion
Robots,451,0.37180544105523494
Manipulator,110,0.09068425391591096
Robotics,102,0.08408903544929926
Data Center,77,0.06347897774113767
Object Recognition,68,0.05605935696619951
UAM,67,0.055234954657873044
Clouds,54,0.04451772464962902
Voice Recognition,37,0.030502885408079144
Database,28,0.023083264633140973
Feature Extraction,18,0.01483924154987634
Image Segmentation,16,0.013190436933223413
Mobile Robots,14,0.011541632316570486
UGV,12,0.00989282769991756
Image Recognition,12,0.00989282769991756
Information Retrieval,12,0.00989282769991756
Machine Learning,12,0.00989282769991756
Classification,11,0.009068425391591096
Unmanned Vehicle,11,0.009068425391591096
Pattern Recognition,10,0.008244023083264633
Data Mining,10,0.008244023083264633
Machine Translation,9,0.00741962077493817
Face Detection,8,0.006595218466611707
Expert System,5,0.004122011541632316
Supervised Learning,5,0.004122011541632316
Clustering,4,0.0032976092333058533
Humanoid Robots,4,0.0032976092333058533
Image Classification,4,0.0032976092333058533
Big Data,3,0.00247320692497939
Reinforcement Learning,3,0.00247320692497939
Computer Vision,3,0.00247320692497939
Language Modeling,3,0.00247320692497939
SVM,3,0.00247320692497939
Semantic Search,2,0.0016488046166529267
High Performance Computing,2,0.0016488046166529267
BD & Cloud Solutions,2,0.0016488046166529267
Data Storage,2,0.0016488046166529267
Pose Estimation,2,0.0016488046166529267
NLP,2,0.0016488046166529267
GPU,1,0.0008244023083264633
Hardware Acceleration,1,0.0008244023083264633
SaaS,1,0.0008244023083264633
Search Algorithm,1,0.0008244023083264633
Distributed File System,1,0.0008244023083264633
Knowledge Representation,1,0.0008244023083264633
Loss Functions,1,0.0008244023083264633
AUV,1,0.0008244023083264633
AI,1,0.0008244023083264633
Unsupervised Learning,1,0.0008244023083264633
Text Classification,1,0.0008244023083264633
Sentiment Analysis,1,0.0008244023083264633
Semi Supervised Learning,1,0.0008244023083264633
Gesture Recognition,1,0.0008244023083264633
Regression,1,0.0008244023083264633
