topic,count,proportion
Robots,292,0.4485407066052227
Voice Recognition,71,0.10906298003072197
Manipulator,60,0.09216589861751152
Robotics,54,0.08294930875576037
Object Recognition,28,0.043010752688172046
Mobile Robots,20,0.030721966205837174
Information Retrieval,18,0.027649769585253458
Pattern Recognition,15,0.02304147465437788
Image Recognition,11,0.016897081413210446
Data Center,9,0.013824884792626729
Database,9,0.013824884792626729
AI,8,0.01228878648233487
Data Mining,8,0.01228878648233487
Image Segmentation,6,0.009216589861751152
Expert System,6,0.009216589861751152
Feature Extraction,5,0.007680491551459293
Classification,4,0.006144393241167435
Clustering,3,0.004608294930875576
Computer Vision,3,0.004608294930875576
Language Modeling,3,0.004608294930875576
High Performance Computing,2,0.0030721966205837174
Data Storage,2,0.0030721966205837174
Image Classification,2,0.0030721966205837174
Big Data,2,0.0030721966205837174
Face Detection,2,0.0030721966205837174
Hardware Acceleration,2,0.0030721966205837174
Semi Supervised Learning,1,0.0015360983102918587
Supervised Learning,1,0.0015360983102918587
Humanoid Robots,1,0.0015360983102918587
Machine Learning,1,0.0015360983102918587
RNN,1,0.0015360983102918587
Quantum Computing,1,0.0015360983102918587
