topic,count,proportion
Robots,534,0.34856396866840733
Robotics,131,0.08550913838120104
Object Recognition,102,0.06657963446475196
Manipulator,102,0.06657963446475196
Clouds,91,0.05939947780678851
UAM,82,0.05352480417754569
Data Center,72,0.04699738903394256
Voice Recognition,66,0.04308093994778068
Database,28,0.018276762402088774
UGV,26,0.016971279373368148
Machine Learning,22,0.014360313315926894
Image Recognition,22,0.014360313315926894
Humanoid Robots,22,0.014360313315926894
Mobile Robots,19,0.012402088772845953
Image Segmentation,17,0.011096605744125326
Classification,15,0.0097911227154047
Expert System,14,0.009138381201044387
Big Data,12,0.007832898172323759
Pattern Recognition,11,0.007180156657963447
Feature Extraction,11,0.007180156657963447
Unmanned Vehicle,11,0.007180156657963447
AI,11,0.007180156657963447
Machine Translation,10,0.006527415143603133
Face Detection,9,0.00587467362924282
Information Retrieval,9,0.00587467362924282
AUV,7,0.0045691906005221935
Computer Vision,7,0.0045691906005221935
Clustering,6,0.0039164490861618795
BD & Cloud Solutions,6,0.0039164490861618795
Data Storage,6,0.0039164490861618795
NLP,6,0.0039164490861618795
Pose Estimation,5,0.0032637075718015664
Supervised Learning,5,0.0032637075718015664
Unsupervised Learning,4,0.0026109660574412533
Language Modeling,3,0.0019582245430809398
Image Classification,3,0.0019582245430809398
SVM,3,0.0019582245430809398
Supercomputers,2,0.0013054830287206266
Optical Computing,2,0.0013054830287206266
Gesture Recognition,2,0.0013054830287206266
Quantum Computing,2,0.0013054830287206266
Sentiment Analysis,2,0.0013054830287206266
RDBMS & SQL,1,0.0006527415143603133
Hardware Acceleration,1,0.0006527415143603133
Deep Learning,1,0.0006527415143603133
High Performance Computing,1,0.0006527415143603133
Distributed Computing,1,0.0006527415143603133
Dynamic Cloud,1,0.0006527415143603133
Data Mining,1,0.0006527415143603133
Data Science,1,0.0006527415143603133
Monte Carlo,1,0.0006527415143603133
Entity Recognition,1,0.0006527415143603133
Reinforcement Learning,1,0.0006527415143603133
Parallel Processing,1,0.0006527415143603133
