topic,count,proportion
Robots,335,0.4527027027027027
Manipulator,84,0.11351351351351352
Voice Recognition,59,0.07972972972972973
Robotics,38,0.051351351351351354
Object Recognition,33,0.0445945945945946
Mobile Robots,22,0.02972972972972973
Pattern Recognition,20,0.02702702702702703
Information Retrieval,19,0.025675675675675677
Image Segmentation,13,0.01756756756756757
Data Mining,12,0.016216216216216217
Data Center,12,0.016216216216216217
Feature Extraction,12,0.016216216216216217
Image Recognition,11,0.014864864864864866
Expert System,9,0.012162162162162163
AI,8,0.010810810810810811
Classification,6,0.008108108108108109
Face Detection,5,0.006756756756756757
Database,5,0.006756756756756757
Hardware Acceleration,5,0.006756756756756757
Unmanned Vehicle,4,0.005405405405405406
Quantum Computing,3,0.004054054054054054
Dynamic Programming,2,0.002702702702702703
Knowledge Representation,2,0.002702702702702703
Semantic Search,2,0.002702702702702703
RDBMS & SQL,2,0.002702702702702703
Machine Learning,2,0.002702702702702703
3D Print,2,0.002702702702702703
Computer Vision,2,0.002702702702702703
Language Modeling,2,0.002702702702702703
BD & Cloud Solutions,1,0.0013513513513513514
High Performance Computing,1,0.0013513513513513514
Parallel Processing,1,0.0013513513513513514
Image Classification,1,0.0013513513513513514
Big Data,1,0.0013513513513513514
Data Storage,1,0.0013513513513513514
Clustering,1,0.0013513513513513514
Pose Estimation,1,0.0013513513513513514
Supercomputers,1,0.0013513513513513514
