topic,count,proportion
Robots,724,0.28325508607198746
3D Print,301,0.11776212832550861
UAM,248,0.09702660406885759
Robotics,224,0.08763693270735524
Object Recognition,112,0.04381846635367762
Manipulator,107,0.0418622848200313
Clouds,93,0.036384976525821594
Data Center,92,0.03599374021909233
Machine Learning,88,0.03442879499217527
UGV,61,0.023865414710485134
Voice Recognition,52,0.02034428794992175
Database,51,0.01995305164319249
Humanoid Robots,36,0.014084507042253521
Image Recognition,34,0.013302034428794992
Feature Extraction,31,0.012128325508607199
Mobile Robots,28,0.010954616588419406
Deep Learning,21,0.008215962441314555
AI,21,0.008215962441314555
Classification,19,0.007433489827856025
Big Data,17,0.006651017214397496
Computer Vision,15,0.005868544600938967
Image Segmentation,14,0.005477308294209703
AUV,13,0.005086071987480438
NLP,12,0.004694835680751174
Pattern Recognition,12,0.004694835680751174
Data Storage,8,0.003129890453834116
Quantum Computing,8,0.003129890453834116
Convolutional Networks,8,0.003129890453834116
Information Retrieval,7,0.0027386541471048514
Data Mining,7,0.0027386541471048514
Image Classification,7,0.0027386541471048514
Unmanned Vehicle,6,0.002347417840375587
BD & Cloud Solutions,6,0.002347417840375587
Language Modeling,5,0.0019561815336463224
Clustering,5,0.0019561815336463224
Gesture Recognition,5,0.0019561815336463224
Face Detection,5,0.0019561815336463224
Machine Translation,5,0.0019561815336463224
Reinforcement Learning,5,0.0019561815336463224
Hardware Acceleration,4,0.001564945226917058
Expert System,4,0.001564945226917058
High Performance Computing,4,0.001564945226917058
Pose Estimation,3,0.0011737089201877935
Supervised Learning,3,0.0011737089201877935
Cluster Computing,3,0.0011737089201877935
Text Classification,3,0.0011737089201877935
Supercomputers,2,0.000782472613458529
Regression,2,0.000782472613458529
RNN,2,0.000782472613458529
Boosting,2,0.000782472613458529
Entity Recognition,2,0.000782472613458529
Dynamic Cloud,1,0.0003912363067292645
Parallel Processing,1,0.0003912363067292645
Audio Classification,1,0.0003912363067292645
Transfer Learning,1,0.0003912363067292645
Fully Connected Layer,1,0.0003912363067292645
SVM,1,0.0003912363067292645
Sentiment Analysis,1,0.0003912363067292645
Dimensionality Reduction,1,0.0003912363067292645
GPU,1,0.0003912363067292645
