topic,count,proportion
Robots,172,0.3155963302752294
Voice Recognition,98,0.1798165137614679
Manipulator,50,0.09174311926605505
Robotics,28,0.05137614678899083
Pattern Recognition,21,0.03853211009174312
Information Retrieval,18,0.03302752293577982
Object Recognition,18,0.03302752293577982
Database,17,0.031192660550458717
Image Recognition,16,0.029357798165137616
Expert System,15,0.027522935779816515
Feature Extraction,12,0.022018348623853212
Classification,12,0.022018348623853212
Data Mining,9,0.01651376146788991
Image Segmentation,6,0.011009174311926606
Hardware Acceleration,6,0.011009174311926606
Data Center,5,0.009174311926605505
Quantum Computing,4,0.007339449541284404
Language Modeling,4,0.007339449541284404
RDBMS & SQL,4,0.007339449541284404
AI,3,0.005504587155963303
Parallel Processing,3,0.005504587155963303
Clustering,3,0.005504587155963303
Machine Learning,2,0.003669724770642202
Humanoid Robots,2,0.003669724770642202
Supervised Learning,2,0.003669724770642202
Mobile Robots,2,0.003669724770642202
Dynamic Programming,2,0.003669724770642202
Nearest Neighbors,2,0.003669724770642202
Supercomputers,1,0.001834862385321101
Image Classification,1,0.001834862385321101
Reinforcement Learning,1,0.001834862385321101
Genetic Algorithm,1,0.001834862385321101
Back-propagation,1,0.001834862385321101
Data Storage,1,0.001834862385321101
Face Detection,1,0.001834862385321101
Computer Vision,1,0.001834862385321101
Deep Learning,1,0.001834862385321101
